Time,CurrentSize,AverageSize
3.8,100,14433
3.81,100,14533
3.82,100,14633
3.83,99,14732
3.84,100,14832
3.85,100,14932
3.86,100,15032
3.87,100,15132
3.88,100,15232
3.89,100,15332
3.9,100,15432
3.91,100,15532
3.92,100,15632
3.93,100,15732
3.94,100,15832
3.95,100,15932
3.96,100,16032
3.97,100,16132
3.98,100,16232
3.99,100,16332
4,99,16431
4.01,100,16531
4.02,100,16631
4.03,100,16731
4.04,100,16831
4.05,100,16931
4.06,100,17031
4.07,100,17131
4.08,100,17231
4.09,100,17331
4.1,100,17431
4.11,100,17531
4.12,100,17631
4.13,100,17731
4.14,100,17831
4.15,100,17931
4.16,100,18031
4.17,99,18130
4.18,100,18230
4.19,100,18330
4.2,100,18430
4.21,100,18530
4.22,100,18630
4.23,100,18730
4.24,100,18830
4.25,100,18930
4.26,100,19030
4.27,100,19130
4.28,100,19230
4.29,100,19330
4.3,100,19430
4.31,100,19530
4.32,100,19630
4.33,100,19730
4.34,99,19829
4.35,100,19929
4.36,100,20029
4.37,100,20129
4.38,100,20229
4.39,100,20329
4.4,100,20429
4.41,100,20529
4.42,100,20629
4.43,100,20729
4.44,100,20829
4.45,100,20929
4.46,100,21029
4.47,100,21129
4.48,100,21229
4.49,100,21329
4.5,100,21429
4.51,99,21528
4.52,99,21627
4.53,99,21726
4.54,99,21825
4.55,99,21924
4.56,99,22023
4.57,99,22122
4.58,99,22221
4.59,94,22315
4.6,94,22409
4.61,94,22503
4.62,94,22597
4.63,94,22691
4.64,94,22785
4.65,89,22874
4.66,89,22963
4.67,89,23052
4.68,89,23141
4.69,89,23230
4.7,89,23319
4.71,89,23408
4.72,83,23491
4.73,83,23574
4.74,83,23657
4.75,83,23740
4.76,83,23823
4.77,83,23906
4.78,78,23984
4.79,78,24062
4.8,78,24140
4.81,78,24218
4.82,78,24296
4.83,78,24374
4.84,74,24448
4.85,74,24522
4.86,74,24596
4.87,74,24670
4.88,74,24744
4.89,74,24818
4.9,74,24892
4.91,69,24961
4.92,69,25030
4.93,69,25099
4.94,69,25168
4.95,69,25237
4.96,69,25306
4.97,69,25375
4.98,65,25440
4.99,65,25505
5,65,25570
5.01,65,25635
5.02,65,25700
5.03,65,25765
5.04,60,25825
5.05,60,25885
5.06,60,25945
5.07,60,26005
5.08,60,26065
5.09,60,26125
5.1,60,26185
5.11,55,26240
5.12,56,26296
5.13,56,26352
5.14,56,26408
5.15,56,26464
5.16,56,26520
5.17,51,26571
5.18,51,26622
5.19,51,26673
5.2,51,26724
5.21,51,26775
5.22,51,26826
5.23,51,26877
5.24,46,26923
5.25,46,26969
5.26,46,27015
5.27,46,27061
5.28,46,27107
5.29,46,27153
5.3,42,27195
5.31,42,27237
5.32,42,27279
5.33,42,27321
5.34,42,27363
5.35,42,27405
5.36,37,27442
5.37,37,27479
5.38,37,27516
5.39,37,27553
5.4,36,27589
5.41,36,27625
5.42,36,27661
5.43,33,27694
5.44,33,27727
5.45,33,27760
5.46,33,27793
5.47,33,27826
5.48,33,27859
5.49,28,27887
5.5,28,27915
5.51,28,27943
5.52,28,27971
5.53,28,27999
5.54,26,28025
5.55,26,28051
5.56,24,28075
5.57,24,28099
5.58,24,28123
5.59,24,28147
5.6,24,28171
5.61,24,28195
5.62,19,28214
5.63,19,28233
5.64,19,28252
5.65,19,28271
5.66,19,28290
5.67,19,28309
5.68,15,28324
5.69,15,28339
5.7,15,28354
5.71,15,28369
5.72,15,28384
5.73,15,28399
5.74,15,28414
5.75,10,28424
5.76,10,28434
5.77,10,28444
5.78,10,28454
5.79,10,28464
5.8,10,28474
5.81,10,28484
5.82,6,28490
5.83,6,28496
5.84,6,28502
5.85,6,28508
5.86,6,28514
5.87,6,28520
5.88,1,28521
5.89,1,28522
5.9,1,28523
5.91,1,28524
5.92,1,28525
5.93,1,28526
5.94,1,28527
5.95,1,28528
5.96,0,28528
5.97,0,28528
5.98,0,28528
5.99,0,28528
6,0,28528
6.01,0,28528
6.02,0,28528
6.03,0,28528
6.04,0,28528
6.05,0,28528
6.06,0,28528
6.07,0,28528
6.08,0,28528
6.09,0,28528
6.1,0,28528
6.11,0,28528
6.12,0,28528
6.13,0,28528
6.14,0,28528
6.15,0,28528
6.16,0,28528
6.17,0,28528
6.18,0,28528
6.19,0,28528
6.2,0,28528
6.21,0,28528
6.22,0,28528
6.23,0,28528
6.24,0,28528
6.25,0,28528
6.26,0,28528
6.27,0,28528
6.28,0,28528
6.29,0,28528
6.3,0,28528
6.31,0,28528
6.32,0,28528
6.33,0,28528
6.34,0,28528
6.35,0,28528
6.36,0,28528
6.37,0,28528
6.38,0,28528
6.39,0,28528
6.4,0,28528
6.41,0,28528
6.42,0,28528
6.43,0,28528
6.44,0,28528
6.45,0,28528
6.46,0,28528
6.47,0,28528
6.48,0,28528
6.49,0,28528
6.5,0,28528
6.51,0,28528
6.52,0,28528
6.53,0,28528
6.54,0,28528
6.55,0,28528
6.56,0,28528
6.57,0,28528
6.58,0,28528
6.59,0,28528
6.6,0,28528
6.61,0,28528
6.62,0,28528
6.63,0,28528
6.64,0,28528
6.65,0,28528
6.66,0,28528
6.67,0,28528
6.68,0,28528
6.69,0,28528
6.7,0,28528
6.71,0,28528
6.72,0,28528
6.73,0,28528
6.74,0,28528
6.75,0,28528
6.76,0,28528
6.77,0,28528
6.78,0,28528
6.79,0,28528
6.8,0,28528
6.81,0,28528
6.82,0,28528
6.83,0,28528
6.84,0,28528
6.85,0,28528
6.86,0,28528
6.87,0,28528
6.88,0,28528
6.89,0,28528
6.9,0,28528
6.91,0,28528
6.92,0,28528
6.93,0,28528
6.94,0,28528
6.95,0,28528
6.96,0,28528
6.97,0,28528
6.98,0,28528
6.99,0,28528
7,0,28528
7.01,0,28528
7.02,0,28528
7.03,0,28528
7.04,0,28528
7.05,0,28528
7.06,0,28528
7.07,0,28528
7.08,0,28528
7.09,0,28528
7.1,0,28528
7.11,0,28528
