Time,Source,Sequence
1.10622,2,55565
1.10632,2,56523
1.1064,2,57481
1.1065,2,58439
1.10658,2,59397
1.10668,3,29699
1.10676,3,30657
1.10686,3,31615
1.10694,3,32573
1.10704,3,33531
1.10712,3,34489
1.10722,3,35447
1.1073,3,36405
1.1074,3,37363
1.10748,3,38321
1.10758,3,39279
1.10766,3,40237
1.10776,3,41195
1.10784,3,42153
1.10794,3,43111
1.10802,3,44069
1.10812,3,45027
1.1082,3,45985
1.1083,3,46943
1.10838,3,47901
1.10848,3,48859
1.10856,3,49817
1.10866,3,50775
1.10874,3,51733
1.10884,3,52691
1.10892,3,53649
1.10902,3,54607
1.1091,3,55565
1.1092,3,56523
1.10928,3,57481
1.10938,3,58439
1.10946,3,59397
1.10956,4,29699
1.10964,4,30657
1.10974,4,31615
1.10982,4,32573
1.10992,4,33531
1.11,4,34489
1.1101,4,35447
1.11018,4,36405
1.11028,4,37363
1.11036,4,38321
1.11046,4,39279
1.11054,4,40237
1.11064,4,41195
1.11072,4,42153
1.11082,4,43111
1.1109,4,44069
1.111,4,45027
1.11108,4,45985
1.11118,4,46943
1.11126,4,47901
1.11136,4,48859
1.11144,4,49817
1.11154,4,50775
1.11162,4,51733
1.11172,4,52691
1.1118,4,53649
1.1119,4,54607
1.11198,4,55565
1.11208,4,56523
1.11216,4,57481
1.11226,4,58439
1.11234,4,59397
1.11244,1,29699
1.11252,1,30657
1.11262,1,31615
1.1127,1,32573
1.1128,1,33531
1.11288,1,34489
1.11298,1,35447
1.11306,1,36405
1.11316,1,37363
1.11324,1,38321
1.11334,1,39279
1.11342,1,40237
1.11352,1,41195
1.1136,1,42153
1.1137,1,43111
1.11378,1,44069
1.11388,1,45027
1.11396,1,45985
1.11406,1,46943
1.11414,1,47901
1.11424,1,48859
1.11432,1,49817
1.11442,1,50775
1.1145,1,51733
1.1146,1,52691
1.11468,1,53649
1.11478,1,54607
1.11486,1,55565
1.11496,1,56523
1.11504,1,57481
1.11514,1,58439
1.11522,1,59397
1.11532,2,29699
1.1154,2,30657
1.1155,2,31615
1.11558,2,32573
1.11568,2,33531
1.11576,2,34489
1.11586,2,35447
1.11594,2,36405
1.11604,2,37363
1.11612,2,38321
1.11622,2,39279
1.1163,2,40237
1.1164,2,41195
1.11648,2,42153
1.11658,2,43111
1.11666,2,44069
1.11676,2,45027
1.11684,2,45985
1.11694,2,46943
1.11702,2,47901
1.11712,2,48859
1.1172,2,49817
1.1173,2,50775
1.11738,2,51733
1.11748,2,52691
1.11756,2,53649
1.11766,2,54607
1.11774,2,55565
1.11784,2,56523
1.11792,2,57481
1.11802,2,58439
1.1181,2,59397
1.1182,3,29699
1.11828,3,30657
1.11838,3,31615
1.11846,3,32573
1.11856,3,33531
1.11864,3,34489
1.11874,3,35447
1.11882,3,36405
1.11892,3,37363
1.119,3,38321
1.1191,3,39279
1.11918,3,40237
1.11928,3,41195
1.11936,3,42153
1.11946,3,43111
1.11954,3,44069
1.11964,3,45027
1.11972,3,45985
1.11982,3,46943
1.1199,3,47901
1.12,3,48859
1.12008,3,49817
1.12018,3,50775
1.12026,3,51733
1.12036,3,52691
1.12044,3,53649
1.12054,3,54607
1.12062,3,55565
1.12072,3,56523
1.1208,3,57481
1.12089,3,58439
1.12098,3,59397
1.12107,4,29699
1.12116,4,30657
1.12125,4,31615
1.12134,4,32573
1.12143,4,33531
1.12152,4,34489
1.12161,4,35447
1.1217,4,36405
1.12179,4,37363
1.12188,4,38321
1.12197,4,39279
1.12206,4,40237
1.12215,4,41195
1.12224,4,42153
1.12233,4,43111
